epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,4859.41,0.97038,0.42868,1.09091,0.9861,0.99905,0.99456,0.78869,0.87664,0.36499,1.08124,0.0001816,0.0001816,0.0001816
126,4891.07,0.99132,0.45064,1.06395,0.98622,0.99905,0.99456,0.78762,0.87895,0.36527,1.08179,0.000175,0.000175,0.000175
127,4922.95,0.98946,0.44374,1.08064,0.98649,0.99905,0.99458,0.78756,0.88165,0.36534,1.08338,0.0001684,0.0001684,0.0001684
128,4954.83,0.96739,0.43818,1.07866,0.98657,0.99905,0.99456,0.78722,0.87983,0.36431,1.0818,0.0001618,0.0001618,0.0001618
129,4986.58,0.97406,0.43637,1.07419,0.98662,0.99905,0.99454,0.78819,0.87656,0.36318,1.07932,0.0001552,0.0001552,0.0001552
130,5018.56,0.97378,0.44346,1.07032,0.98688,0.99941,0.99454,0.78851,0.87464,0.36268,1.07884,0.0001486,0.0001486,0.0001486
131,5050.56,0.96662,0.44072,1.06153,0.98664,0.99905,0.99459,0.78846,0.87231,0.36245,1.07858,0.000142,0.000142,0.000142
132,5090.66,0.94615,0.43797,1.05029,0.98664,0.99905,0.99462,0.78761,0.87205,0.36243,1.07889,0.0001354,0.0001354,0.0001354
133,5131.99,0.94738,0.43512,1.04543,0.98658,0.99905,0.9946,0.78745,0.87107,0.36237,1.07824,0.0001288,0.0001288,0.0001288
134,5172.88,0.95536,0.43549,1.06177,0.98613,0.99904,0.99459,0.78708,0.87225,0.36231,1.07857,0.0001222,0.0001222,0.0001222
135,5213.77,0.94034,0.42621,1.05526,0.98603,0.99946,0.9946,0.7889,0.86915,0.36117,1.07752,0.0001156,0.0001156,0.0001156
136,5254.06,0.95107,0.43715,1.07272,0.98671,0.9983,0.99459,0.78996,0.86652,0.36062,1.07652,0.000109,0.000109,0.000109
137,5295.59,0.97284,0.44367,1.08288,0.98649,0.99844,0.99461,0.79036,0.86569,0.36081,1.07621,0.0001024,0.0001024,0.0001024
138,5337.08,0.96361,0.42776,1.05638,0.98603,0.99994,0.99462,0.7912,0.8672,0.36155,1.07664,9.58e-05,9.58e-05,9.58e-05
139,5377.69,0.95542,0.42687,1.09335,0.98548,1,0.99463,0.79192,0.86539,0.36105,1.07566,8.92e-05,8.92e-05,8.92e-05
140,5418.91,0.94491,0.43038,1.06433,0.98589,0.99952,0.99461,0.79278,0.86201,0.36003,1.0745,8.26e-05,8.26e-05,8.26e-05
141,5458.88,0.93496,0.41347,1.09167,0.98642,0.99931,0.99458,0.79124,0.86323,0.36086,1.07505,7.6e-05,7.6e-05,7.6e-05
142,5498.4,0.93002,0.41248,1.09343,0.98638,0.99905,0.99453,0.79007,0.86493,0.36137,1.07572,6.94e-05,6.94e-05,6.94e-05
143,5538.68,0.90963,0.40255,1.09583,0.98646,0.99905,0.9945,0.78916,0.86735,0.36238,1.07634,6.28e-05,6.28e-05,6.28e-05
144,5578.8,0.92267,0.4026,1.09207,0.98656,0.999,0.99447,0.78766,0.87022,0.36363,1.07743,5.62e-05,5.62e-05,5.62e-05
145,5617.53,0.8956,0.3945,1.08408,0.9866,0.99898,0.99447,0.78693,0.87186,0.36439,1.07806,4.96e-05,4.96e-05,4.96e-05
146,5655.9,0.90015,0.39851,1.06139,0.98655,0.99895,0.99444,0.78584,0.87337,0.36542,1.07882,4.3e-05,4.3e-05,4.3e-05
147,5694.75,0.89451,0.39733,1.08557,0.98657,0.99893,0.99443,0.78482,0.87323,0.36592,1.07919,3.64e-05,3.64e-05,3.64e-05
148,5733.34,0.90534,0.39746,1.08868,0.98661,0.99889,0.99443,0.78483,0.87186,0.36578,1.07867,2.98e-05,2.98e-05,2.98e-05
149,5771.71,0.8977,0.39588,1.09118,0.98665,0.99879,0.99443,0.78668,0.8699,0.36554,1.07758,2.32e-05,2.32e-05,2.32e-05
150,5810.51,0.90398,0.39961,1.09803,0.98664,0.9988,0.99443,0.78781,0.86786,0.36508,1.0765,1.66e-05,1.66e-05,1.66e-05
